Quarter,Ticker,Stock,%,Change,Unnamed: 0,Income_Revenue,Income_Cost Of Goods Sold,Income_Gross Profit,Income_Research And Development Expenses,Income_SG&A Expenses,Income_Other Operating Income Or Expenses,Income_Operating Expenses,Income_Operating Income,Income_Total Non-Operating Income/Expense,Income_Pre-Tax Income,Income_Income Taxes,Income_Income After Taxes,Income_Other Income,Income_Income From Continuous Operations,Income_Income From Discontinued Operations,Income_Net Income,Income_EBITDA,Income_EBIT,Income_Basic EPS,Income_EPS - Earnings Per Share,Balance_Cash On Hand,Balance_Receivables,Balance_Inventory,Balance_Pre-Paid Expenses,Balance_Other Current Assets,Balance_Total Current Assets,"Balance_Property, Plant, And Equipment",Balance_Long-Term Investments,Balance_Goodwill And Intangible Assets,Balance_Other Long-Term Assets,Balance_Total Long-Term Assets,Balance_Total Assets,Balance_Total Current Liabilities,Balance_Long Term Debt,Balance_Other Non-Current Liabilities,Balance_Total Long Term Liabilities,Balance_Total Liabilities,Balance_Common Stock Net,Balance_Retained Earnings (Accumulated Deficit),Balance_Comprehensive Income,Balance_Other Share Holders Equity,Balance_Share Holder Equity,Balance_Total Liabilities And Share Holders Equity,CashFlow_Net Income/Loss,CashFlow_Total Depreciation And Amortization - Cash Flow,CashFlow_Other Non-Cash Items,CashFlow_Total Non-Cash Items,CashFlow_Change In Accounts Receivable,CashFlow_Change In Inventories,CashFlow_Change In Accounts Payable,CashFlow_Change In Assets/Liabilities,CashFlow_Total Change In Assets/Liabilities,CashFlow_Cash Flow From Operating Activities,"CashFlow_Net Change In Property, Plant, And Equipment",CashFlow_Net Change In Intangible Assets,CashFlow_Net Acquisitions/Divestitures,CashFlow_Net Change In Short-term Investments,CashFlow_Net Change In Long-Term Investments,CashFlow_Net Change In Investments - Total,CashFlow_Investing Activities - Other,CashFlow_Cash Flow From Investing Activities,CashFlow_Net Long-Term Debt,CashFlow_Net Current Debt,CashFlow_Debt Issuance/Retirement Net - Total,CashFlow_Net Common Equity Issued/Repurchased,CashFlow_Net Total Equity Issued/Repurchased,CashFlow_Total Common And Preferred Stock Dividends Paid,CashFlow_Financial Activities - Other,CashFlow_Cash Flow From Financial Activities,CashFlow_Net Cash Flow,CashFlow_Stock-Based Compensation,CashFlow_Common Stock Dividends Paid,StockPrice,Annual_Basic_EPS,PER,ROI,Operating_Margin,Gross_Margin,Net_Profit_Margin,ROE,Current_Ratio,Debt_to_Equity,EBITDA_Margin
2020 Q2,JNJ,JOHNSON & JOHNSON,0.02%,0,2020-06-30,18336,6579,11757,2707,4993,-24,7817,3940,0,3940,314,3626,0,3626,0,3626,5730,4004,1.38,1.36,19135,14645,9424,2588,100,45892,17598,0,81303,5782,112488,158380,36772,25062,17625,58630,95402,3120,113898,-15533,0,62978,158380,14714,7231,-1162,6069,837,-265,0,-2960,2753,23536,-3042,0,-7323,0,-8952,-8952,-1508,-20825,6367,728,7095,-2107,-2107,-10481,-627,-6120,-3320,1005,-10481,123.0653229,5.78,21.29157835,0.022894305,0.214877836,0.641197644,0.197753054,0.057575661,1.248014794,1.514846454,0.3125
2020 Q3,JNJ,JOHNSON & JOHNSON,0.02%,0,2020-09-30,21082,6972,14110,2840,5431,-1200,9709,4401,0,4401,847,3554,0,3554,0,3554,6275,4457,1.35,1.33,30781,14579,9599,2528,91,57578,17855,0,81313,6131,113115,170693,38847,32680,18894,67373,106220,3120,114831,-14938,0,64473,170693,14714,7231,-1162,6069,837,-265,0,-2960,2753,23536,-3042,0,-7323,0,-8952,-8952,-1508,-20825,6367,728,7095,-2107,-2107,-10481,-627,-6120,-3320,1005,-10481,131.1520844,6.46,20.30218024,0.020821006,0.208756285,0.669291339,0.168579831,0.05512385,1.482173656,1.647511361,0.297647282
2020 Q4,JNJ,JOHNSON & JOHNSON,0.02%,0,2020-12-31,22475,7814,14661,4032,6457,-2354,13014,1647,0,1647,-91,1738,0,1738,0,1738,3687,1747,0.66,0.65,25185,13576,9344,3132,0,51237,18766,0,89795,6562,123657,174894,42493,32635,18503,69123,111616,3120,113890,-15242,0,63278,174894,14714,7231,-1162,6069,837,-265,0,-2960,2753,23536,-3042,0,-7323,0,-8952,-8952,-1508,-20825,6367,728,7095,-2107,-2107,-10481,-627,-6120,-3320,1005,-10481,139.6032562,5.59,24.97374888,0.009937448,0.073281424,0.652324805,0.077330367,0.027466102,1.205775069,1.763898985,0.164048943
2021 Q1,JNJ,JOHNSON & JOHNSON,0.02%,0,2021-03-31,22321,7063,15258,3178,5432,882,7829,7429,0,7429,1232,6197,0,6197,0,6197,9401,7507,2.35,2.32,24619,14938,9952,3024,0,52533,18367,0,86798,6538,120024,172557,40932,30263,18509,65791,106723,3120,116508,-15328,0,65834,172557,20878,7390,-572,6818,-2450,-1248,0,-3025,-4286,23410,-2941,0,-60,0,-5388,-5388,-294,-8683,-1797,807,-990,-2420,-2420,-11032,395,-14047,502,1135,-11032,146.6950684,5.74,25.55663212,0.035912771,0.33282559,0.683571525,0.277630931,0.094130692,1.283421284,1.621092445,0.421172887
2021 Q2,JNJ,JOHNSON & JOHNSON,0.02%,0,2021-06-30,23312,7587,15725,3394,6073,488,9063,6662,0,6662,384,6278,0,6278,0,6278,8553,6714,2.38,2.35,25306,14871,10100,3492,0,53769,18632,0,86063,7172,122671,176440,38721,30310,18446,68139,106860,3120,120154,-15100,0,69580,176440,20878,7390,-572,6818,-2450,-1248,0,-3025,-4286,23410,-2941,0,-60,0,-5388,-5388,-294,-8683,-1797,807,-990,-2420,-2420,-11032,395,-14047,502,1135,-11032,147.9605713,6.74,21.95260702,0.035581501,0.285775566,0.674545299,0.269303363,0.090227077,1.388626327,1.535786145,0.366892588
2021 Q3,JNJ,JOHNSON & JOHNSON,0.02%,0,2021-09-30,23338,7250,16088,3422,6000,-1850,12239,3849,0,3849,182,3667,0,3667,0,3667,5696,3882,1.39,1.37,31001,14911,10387,3590,0,59889,18478,0,83345,6870,119339,179228,44561,30130,16947,64395,108956,3120,121092,-15415,0,70272,179228,20878,7390,-572,6818,-2450,-1248,0,-3025,-4286,23410,-2941,0,-60,0,-5388,-5388,-294,-8683,-1797,807,-990,-2420,-2420,-11032,395,-14047,502,1135,-11032,145.9125061,6.78,21.5210186,0.020459973,0.164924158,0.689347845,0.157125718,0.052182946,1.343977918,1.550489526,0.244065473
2021 Q4,JNJ,JOHNSON & JOHNSON,0.02%,0,2021-12-31,9769,1502,8267,4283,2613,-46,7029,1238,0,1238,-421,1659,0,1659,0,4736,3154,1311,1.81,1.77,31608,15283,10387,3701,0,60979,18962,0,81638,10216,121039,182018,45226,29985,16399,62769,107995,3120,123060,-13058,0,74023,182018,20878,7390,-572,6818,-2450,-1248,0,-3025,-4286,23410,-2941,0,-60,0,-5388,-5388,-294,-8683,-1797,807,-990,-2420,-2420,-11032,395,-14047,502,1135,-11032,155.571228,7.93,19.61806154,0.026019405,0.126727403,0.846248337,0.484798854,0.063980114,1.34831734,1.458938438,0.32285802
2022 Q1,JNJ,JOHNSON & JOHNSON,0.02%,0,2022-03-31,23426,7598,15828,3462,5938,102,9966,5862,0,5862,713,5149,0,5149,0,5149,7663,5894,1.96,1.93,30388,15594,10990,3452,0,60424,18701,0,79355,9939,117931,178355,43390,28851,16242,60256,103646,3120,124380,-13757,0,74709,178355,17941,6970,311,7281,-1307,-2527,0,-1292,-4028,21194,-3466,0,-17652,0,9225,9225,-478,-12371,-2132,9584,7452,-4706,-4706,-11682,65,-8871,-360,1138,-11682,162.2077332,7.54,21.51296196,0.02886939,0.250234782,0.675659524,0.219798514,0.068920746,1.392578935,1.387329505,0.327115171
2022 Q2,JNJ,JOHNSON & JOHNSON,0.02%,0,2022-06-30,24020,7919,16101,3703,6226,-273,10261,5840,0,5840,1026,4814,0,4814,0,4814,7686,5942,1.83,1.8,32568,16139,11437,3703,0,63847,18354,0,76574,9435,113877,177724,44821,28292,14686,56546,101367,3120,126216,-13843,0,76357,177724,17941,6970,311,7281,-1307,-2527,0,-1292,-4028,21194,-3466,0,-17652,0,9225,9225,-478,-12371,-2132,9584,7452,-4706,-4706,-11682,65,-8871,-360,1138,-11682,163.5079651,6.99,23.39169744,0.027086944,0.243130724,0.670316403,0.20041632,0.063045955,1.424488521,1.32754037,0.319983347
2022 Q3,JNJ,JOHNSON & JOHNSON,0.02%,0,2022-09-30,19996,6172,13824,3485,4975,-226,8652,5172,0,5172,862,4310,0,4310,148,4458,7058,5373,1.7,1.68,34079,15890,11675,3592,0,65236,18152,0,73719,8625,109888,175124,45543,27603,14080,54982,100525,3120,127917,-15292,0,74599,175124,17941,6970,311,7281,-1307,-2527,0,-1292,-4028,21194,-3466,0,-17652,0,9225,9225,-478,-12371,-2132,9584,7452,-4706,-4706,-11682,65,-8871,-360,1138,-11682,151.4851685,7.3,20.75139294,0.025456248,0.25865173,0.691338268,0.222944589,0.059759514,1.432404541,1.347538171,0.352970594
2022 Q4,JNJ,JOHNSON & JOHNSON,0.02%,0,2022-12-31,12548,2907,9641,3485,3107,-413,7156,2485,0,2485,388,2097,0,2097,1423,3520,4688,2916,1.34,1.32,22281,14039,10268,2876,0,55294,17982,0,74536,9212,132084,187378,55802,26886,14452,54772,110574,3120,128345,-12967,0,76804,187378,17941,6970,311,7281,-1307,-2527,0,-1292,-4028,21194,-3466,0,-17652,0,9225,9225,-478,-12371,-2132,9584,7452,-4706,-4706,-11682,65,-8871,-360,1138,-11682,164.8664246,6.83,24.13856875,0.018785556,0.198039528,0.768329614,0.280522792,0.045830946,0.990896384,1.439690641,0.373605355
2023 Q1,JNJ,JOHNSON & JOHNSON,0.02%,0,2023-03-31,20894,6687,14207,3455,4906,-6940,15494,-1287,0,-1287,-796,-491,0,-491,423,-68,1003,-877,-0.03,-0.03,32308,16350,12809,2921,0,64388,20174,0,93023,9567,131581,195969,60373,34928,18717,64727,125100,3120,124558,-12626,0,70869,195969,35153,7486,-22355,-14869,-624,-1323,0,2108,2507,22791,-4185,0,0,0,8484,8484,-3421,878,-1551,-1183,-2734,281,281,-11770,-1602,-15825,7732,1162,-11770,145.7010498,4.84,30.10352269,-0.000346994,-0.061596631,0.679955968,-0.003254523,-0.000959517,1.066503238,1.765228802,0.048004212
2023 Q2,JNJ,JOHNSON & JOHNSON,0.02%,0,2023-06-30,21519,6462,15057,3703,5396,384,8751,6306,0,6306,930,5376,0,5376,-232,5144,8783,6849,1.98,1.96,28505,16777,12888,2397,0,60567,20576,0,91686,10078,131119,191686,54170,33901,17118,61107,115277,3120,129381,-13135,0,76409,191686,35153,7486,-22355,-14869,-624,-1323,0,2108,2507,22791,-4185,0,0,0,8484,8484,-3421,878,-1551,-1183,-2734,281,281,-11770,-1602,-15825,7732,1162,-11770,156.763855,4.99,31.4156022,0.026835554,0.293043357,0.699707235,0.239044565,0.067321912,1.118091194,1.508683532,0.408150936
2023 Q3,JNJ,JOHNSON & JOHNSON,0.00%,-1,2023-09-30,21351,6606,14745,3447,5400,-499,9528,5217,0,5217,908,4309,0,4309,21719,26028,7612,5783,10.32,10.21,23511,14798,11198,4196,0,53703,18821,0,71145,13133,112358,166061,44370,26051,16102,50463,94833,3120,152536,-8780,0,71228,166061,35153,7486,-22355,-14869,-624,-1323,0,2108,2507,22791,-4185,0,0,0,8484,8484,-3421,878,-1551,-1183,-2734,281,281,-11770,-1602,-15825,7732,1162,-11770,148.5816956,13.61,10.9170974,0.156737584,0.244344527,0.690599972,1.219052972,0.365418094,1.210344828,1.331400573,0.356517259
2018 Q3,JPM,JPMORGAN CHASE & CO,1.82%,1,2018-09-30,32791,5531,27260,0,16571,0,16571,10689,0,10689,2309,8380,0,8380,0,7948,0,0,2.35,2.34,1056556,0,0,0,0,2076538,14180,353832,54697,115936,538645,2615183,2065862,270124,0,290365,2356227,4105,195180,-2425,-21,258956,2615183,32474,7791,9309,17100,-14830,-35067,0,2650,-32617,15614,0,0,0,-123201,-18046,-141247,-58173,-199420,-4651,41891,37240,-19983,-19983,-10109,27010,34158,-152511,0,-10109,93.55757141,8.13,11.50769636,0.003039175,0.32597359,0.831325669,0.242383581,0.030692473,1.005167819,9.098947312,0
2018 Q4,JPM,JPMORGAN CHASE & CO,2.67%,1,2018-12-31,31909,6046,25863,0,17022,0,17022,8841,0,8841,1775,7066,0,7066,0,6643,0,0,2,2,1014095,0,0,0,0,2058404,14934,373823,54349,121022,564128,2622532,2063745,282031,0,302272,2366017,4105,199202,-1507,-21,256515,2622532,32474,7791,9309,17100,-14830,-35067,0,2650,-32617,15614,0,0,0,-123201,-18046,-141247,-58173,-199420,-4651,41891,37240,-19983,-19983,-10109,27010,34158,-152511,0,-10109,81.50521088,9.04,9.01606315,0.002533048,0.277069165,0.810523677,0.208185778,0.025897121,0.997411986,9.223698419,0
2019 Q1,JPM,JPMORGAN CHASE & CO,3.02%,1,2019-03-31,36059,6936,29123,0,17890,0,17890,11233,0,11233,2054,9179,0,9179,0,8753,0,0,2.65,2.65,1135146,0,0,0,0,2150098,24160,390551,54168,118211,587090,2737188,2160503,290893,0,316848,2477351,4105,205437,-558,-21,259837,2737188,36431,8368,8851,17219,2048,6551,0,-59924,-51791,4092,0,0,0,72396,-129772,-57376,5317,-52059,-8525,-27214,-35739,-24001,-23076,-12343,104145,32987,-15162,0,-12343,85.20565796,9.31,9.152057783,0.003197807,0.311517236,0.807648576,0.242741063,0.033686503,0.995183992,9.534250318,0
2019 Q2,JPM,JPMORGAN CHASE & CO,3.20%,0,2019-06-30,35952,7205,28747,0,17405,0,17405,11342,0,11342,1690,9652,0,9652,0,9192,0,0,2.83,2.82,1059275,0,0,0,0,2091397,24665,437925,53302,120090,635982,2727379,2149710,288869,0,314454,2464164,4105,212093,1114,-21,263215,2727379,36431,8368,8851,17219,2048,6551,0,-59924,-51791,4092,0,0,0,72396,-129772,-57376,5317,-52059,-8525,-27214,-35739,-24001,-23076,-12343,104145,32987,-15162,0,-12343,94.82252502,9.83,9.646238558,0.003370269,0.31547619,0.799593903,0.255674232,0.034922022,0.972874016,9.361791691,0
2019 Q3,JPM,JPMORGAN CHASE & CO,3.26%,0,2019-09-30,36184,6893,29291,0,17886,0,17886,11405,0,11405,2325,9080,0,9080,0,8606,0,0,2.69,2.68,1009863,0,0,0,0,2030834,25117,532587,53078,123045,733827,2764661,2185326,296472,0,314987,2500313,4105,217888,1800,-21,264348,2764661,36431,8368,8851,17219,2048,6551,0,-59924,-51791,4092,0,0,0,72396,-129772,-57376,5317,-52059,-8525,-27214,-35739,-24001,-23076,-12343,104145,32987,-15162,0,-12343,100.524765,10.17,9.884441004,0.003112859,0.315194561,0.809501437,0.237839929,0.032555571,0.929304827,9.458414666,0
2019 Q4,JPM,JPMORGAN CHASE & CO,3.43%,0,2019-12-31,34320,5761,28559,0,17673,0,17673,10886,0,10886,2366,8520,0,8520,0,8091,0,0,2.58,2.57,882475,0,0,0,0,1939833,25813,537997,53341,130395,747546,2687379,2116710,291498,0,309339,2426049,4105,223211,1569,-21,261330,2687379,36431,8368,8851,17219,2048,6551,0,-59924,-51791,4092,0,0,0,72396,-129772,-57376,5317,-52059,-8525,-27214,-35739,-24001,-23076,-12343,104145,32987,-15162,0,-12343,120.0221405,10.75,11.16485028,0.00301074,0.317191142,0.832138695,0.235751748,0.030960854,0.916437774,9.283469177,0
2020 Q1,JPM,JPMORGAN CHASE & CO,2.96%,-1,2020-03-31,33008,4722,28286,0,25076,0,25076,3210,0,3210,345,2865,0,2865,0,2431,0,0,0.79,0.78,1164694,0,0,0,0,2278889,25882,610983,51867,171810,860542,3139431,2559195,299344,0,318974,2878169,4105,220226,7418,-21,261262,3139431,29131,8614,15556,24170,-9026,-148749,0,14034,-136326,-79910,0,0,0,-47115,-180752,-227867,-34045,-261912,-26369,35966,9597,-6517,-3447,-12690,603185,596645,263978,0,-12690,78.01265717,8.89,8.775327015,0.000774344,0.097249152,0.856943771,0.073648812,0.009304836,0.890471027,11.01640882,0
2020 Q2,JPM,JPMORGAN CHASE & CO,1.03%,-1,2020-06-30,35334,2259,33075,0,27415,0,27415,5660,0,5660,973,4687,0,4687,0,4265,0,0,1.39,1.38,1276751,0,0,0,0,2295437,26301,701495,51669,138213,917678,3213115,2610818,317003,0,337831,2948649,4105,221732,8789,-11,264466,3213115,29131,8614,15556,24170,-9026,-148749,0,14034,-136326,-79910,0,0,0,-47115,-180752,-227867,-34045,-261912,-26369,35966,9597,-6517,-3447,-12690,603185,596645,263978,0,-12690,82.35166168,7.45,11.05391432,0.001327372,0.160185657,0.936067244,0.12070527,0.016126837,0.879202227,11.14944454,0
2020 Q3,JPM,JPMORGAN CHASE & CO,0.04%,-1,2020-09-30,30942,1687,29255,0,17486,0,17486,11769,0,11769,2326,9443,0,9443,0,9015,0,0,2.93,2.92,1313193,0,0,0,0,2349064,26672,673577,51594,145169,897012,3246076,2676597,279175,0,298366,2974963,4105,228014,8940,-11,271113,3246076,29131,8614,15556,24170,-9026,-148749,0,14034,-136326,-79910,0,0,0,-47115,-180752,-227867,-34045,-261912,-26369,35966,9597,-6517,-3447,-12690,603185,596645,263978,0,-12690,85.1078949,7.69,11.06734654,0.002777199,0.380356797,0.945478637,0.291351561,0.033251818,0.877630813,10.97314773,0
2020 Q4,JPM,JPMORGAN CHASE & CO,0.00%,-1,2020-12-31,30627,1292,29335,0,14159,0,14159,15176,0,15176,3040,12136,0,12136,0,11699,0,0,3.78,3.8,1327019,0,0,0,0,2402047,27109,750634,53428,151539,982710,3384757,2806140,281685,0,299263,3105403,4105,236990,7986,0,279354,3384757,29131,8614,15556,24170,-9026,-148749,0,14034,-136326,-79910,0,0,0,-47115,-180752,-227867,-34045,-261912,-26369,35966,9597,-6517,-3447,-12690,603185,596645,263978,0,-12690,113.3792038,8.89,12.75356623,0.003456378,0.495510497,0.957815,0.381983217,0.041878763,0.85599685,11.11637206,0
2015 Q3,KHC,KRAFT HEINZ CO/THE,18.04%,1,2015-09-30,6120,4492,1628,0,1229,0,1229,399,-568,-169,-49,-120,0,-120,0,-303,594,399,-0.27,-0.27,4437,1613,2981,0,1380,10411,6432,0,103443,1506,111381,121792,5746,25250,734,48709,54455,12,-196,-613,0,67337,121792,647,975,283,1258,-915,25,-119,376,-633,1272,-648,0,-9468,0,488,488,1319,-8309,2520,0,2520,10000,10000,-2202,-271,10047,2602,133,-1302,46.84727478,-1.79,-26.17166189,-0.002487848,0.065196078,0.266013072,-0.049509804,-0.004499755,1.811869126,0.808693586,0.097058824
2015 Q4,KHC,KRAFT HEINZ CO/THE,17.97%,0,2015-12-31,7124,4720,2404,0,1117,0,1117,1287,-257,1030,382,648,0,648,0,285,1891,1287,0.58,0.6,4837,1454,2618,0,871,9780,6524,0,105171,1498,113193,122973,6932,25151,752,49828,56760,12,0,-671,0,66213,122973,647,975,283,1258,-915,25,-119,376,-633,1272,-648,0,-9468,0,488,488,1319,-8309,2520,0,2520,10000,10000,-2202,-271,10047,2602,133,-1302,49.08176804,-0.34,-144.3581413,0.002317582,0.180656934,0.33745087,0.040005615,0.004304291,1.41084824,0.857233474,0.265440764
2016 Q1,KHC,KRAFT HEINZ CO/THE,19.90%,0,2016-03-31,6570,4192,2378,0,865,0,865,1513,-241,1272,372,900,0,900,0,896,1826,1513,0.74,0.73,4199,1744,2892,0,977,9812,6434,0,105591,1436,113461,123273,6730,25167,737,49964,56694,12,193,-560,0,66579,123273,3606,990,-453,537,-2055,-130,879,-189,-1495,2648,-1247,0,0,0,0,0,2699,1452,6896,637,7533,0,-8320,-3764,-69,-4620,-657,46,-3584,53.38895798,0.14,381.3496998,0.00726842,0.230289193,0.36194825,0.136377473,0.013457697,1.45794948,0.851529762,0.277929985
2016 Q2,KHC,KRAFT HEINZ CO/THE,22.21%,0,2016-06-30,6793,4262,2531,0,895,0,895,1636,-270,1366,411,955,0,955,0,770,1912,1636,0.63,0.63,4237,1260,2881,0,969,9347,6423,0,104403,1511,112337,121684,9593,30002,801,54044,63637,12,263,-933,0,58047,121684,3606,990,-453,537,-2055,-130,879,-189,-1495,2648,-1247,0,0,0,0,0,2699,1452,6896,637,7533,0,-8320,-3764,-69,-4620,-657,46,-3584,60.54391479,1.68,36.03804452,0.006327866,0.240836155,0.37258943,0.11335198,0.013265113,0.974356301,1.096301273,0.281466215
2016 Q3,KHC,KRAFT HEINZ CO/THE,22.63%,0,2016-09-30,6267,4049,2218,0,805,0,805,1413,-308,1105,262,843,0,843,0,842,1617,1413,0.69,0.69,3920,1063,3108,0,852,8943,6490,0,104138,1509,112137,121080,9414,29980,745,53798,63212,12,374,-1229,0,57868,121080,3606,990,-453,537,-2055,-130,879,-189,-1495,2648,-1247,0,0,0,0,0,2699,1452,6896,637,7533,0,-8320,-3764,-69,-4620,-657,46,-3584,61.66222382,2.64,23.35690296,0.00695408,0.22546673,0.353917345,0.134354556,0.014550356,0.949968133,1.092348103,0.258018191
2016 Q4,KHC,KRAFT HEINZ CO/THE,19.21%,0,2016-12-31,6670,4651,2019,0,962,0,980,1039,157,1196,288,908,0,908,0,908,1236,1039,0.75,0.73,4204,1158,2684,0,707,8753,6688,0,103422,1617,111727,120480,9501,29713,806,53405,62906,12,588,-1628,0,57574,120480,3606,990,-453,537,-2055,-130,879,-189,-1495,2648,-1247,0,0,0,0,0,2699,1452,6896,637,7533,0,-8320,-3764,-69,-4620,-657,46,-3584,60.58630753,2.81,21.56096353,0.007536521,0.155772114,0.302698651,0.136131934,0.015771008,0.921271445,1.092611248,0.185307346
2017 Q1,KHC,KRAFT HEINZ CO/THE,18.27%,0,2017-03-31,6324,4125,2199,0,766,0,766,1433,-183,1250,359,891,0,891,0,893,1613,1433,0.73,0.73,3242,1474,3151,0,1008,8875,6693,0,103630,1604,111927,120802,9383,29748,801,53475,62858,12,750,-1449,0,57944,120802,10932,703,-7770,-7067,-2629,-236,441,-940,-3364,501,-1194,0,0,0,6,6,2365,1177,-1145,-206,-1351,0,0,-2888,18,-4221,-2486,46,-2888,63.42366409,2.8,22.6513086,0.007392262,0.22659709,0.34772296,0.141208096,0.015411432,0.945859533,1.08480602,0.255060089
2017 Q2,KHC,KRAFT HEINZ CO/THE,17.20%,0,2017-06-30,6637,4204,2433,0,789,0,789,1644,-54,1590,430,1160,0,1160,0,1159,1810,1644,0.95,0.94,1445,1434,3065,0,1164,7108,6808,0,103965,1535,112308,119416,7356,29979,673,53514,60870,12,1178,-1308,0,58546,119416,10932,703,-7770,-7067,-2629,-236,441,-940,-3364,501,-1194,0,0,0,6,6,2365,1177,-1145,-206,-1351,0,0,-2888,18,-4221,-2486,46,-2888,60.21829605,3.12,19.30073591,0.009705567,0.247702275,0.366581287,0.174627091,0.019796399,0.966286025,1.039695282,0.272713575
2017 Q3,KHC,KRAFT HEINZ CO/THE,14.21%,0,2017-09-30,6280,4077,2203,0,665,0,665,1538,-179,1359,416,943,0,943,0,944,1735,1538,0.78,0.77,1441,1365,3188,0,1234,7228,6934,0,104358,1531,112823,120051,9387,28299,688,51693,61080,12,1360,-1085,0,58971,120051,10932,703,-7770,-7067,-2629,-236,441,-940,-3364,501,-1194,0,0,0,6,6,2365,1177,-1145,-206,-1351,0,0,-2888,18,-4221,-2486,46,-2888,54.92551422,3.21,17.11075209,0.007863325,0.244904459,0.350796178,0.150318471,0.016007868,0.770001065,1.035763341,0.276273885
2017 Q4,KHC,KRAFT HEINZ CO/THE,13.24%,0,2017-12-31,6835,4637,2198,0,707,0,756,1442,-191,1251,-6687,7938,0,7938,0,7945,1602,1442,6.52,6.47,1629,1812,2760,345,655,7201,7061,0,104257,1573,112891,120092,10154,28308,1088,43868,54022,12,8495,-1054,0,66070,120092,10932,703,-7770,-7067,-2629,-236,441,-940,-3364,501,-1194,0,0,0,6,6,2365,1177,-1145,-206,-1351,0,0,-2888,18,-4221,-2486,46,-2888,55.51468658,8.98,6.182036368,0.066157612,0.210972933,0.321580102,1.162399415,0.120251249,0.709178649,0.817647949,0.234381858
2018 Q1,KHC,KRAFT HEINZ CO/THE,10.74%,0,2018-03-31,6304,4040,2264,0,764,0,764,1500,-227,1273,270,1003,0,1003,0,1003,1621,1500,0.82,0.82,1794,1724,3144,0,775,7437,7267,0,104443,1640,113350,120787,10329,28561,949,44003,54332,12,8718,-975,0,66455,120787,-10254,644,14247,14891,-2280,-251,-23,491,-2063,2574,-808,0,-248,0,24,24,1320,288,277,-429,-152,0,0,-3183,-28,-3363,-633,33,-3183,44.88614273,9.07,4.948858074,0.008303874,0.237944162,0.359137056,0.15910533,0.01509292,0.720011618,0.817575803,0.257138325
2018 Q2,KHC,KRAFT HEINZ CO/THE,10.46%,0,2018-06-30,6690,4343,2347,0,756,-101,990,1357,-296,1061,308,753,0,753,0,754,1515,1357,0.62,0.62,3369,2164,3161,0,807,9501,7258,0,103371,1766,112395,121896,9091,31380,929,46940,56031,12,8710,-1557,0,65865,121896,-10254,644,14247,14891,-2280,-251,-23,491,-2063,2574,-808,0,-248,0,24,24,1320,288,277,-429,-152,0,0,-3183,-28,-3363,-633,33,-3183,45.75034332,8.74,5.234593058,0.006185601,0.20284006,0.350822123,0.112705531,0.011447658,1.045099549,0.850694603,0.226457399
2018 Q3,KHC,KRAFT HEINZ CO/THE,8.12%,0,2018-09-30,6383,4289,2094,0,803,-217,1020,1074,-255,819,201,618,0,618,0,619,1246,1074,0.51,0.5,1366,2227,3287,0,710,7590,7216,0,103035,1889,112140,119730,7581,30998,964,46577,54158,12,8576,-1732,0,65572,119730,-10254,644,14247,14891,-2280,-251,-23,491,-2063,2574,-808,0,-248,0,24,24,1320,288,277,-429,-152,0,0,-3183,-28,-3363,-633,33,-3183,40.5643692,8.47,4.789181724,0.005169966,0.168259439,0.328058906,0.096976343,0.009440005,1.001187178,0.8259318,0.195206016
2018 Q4,KHC,KRAFT HEINZ CO/THE,7.66%,0,2018-12-31,6891,4675,2216,0,867,-8610,16352,-14136,-338,-14474,-1846,-12628,0,-12628,0,-12568,-13943,-14136,-10.31,-10.3,1130,2281,2667,400,2597,9075,7078,0,85971,1337,94386,103461,7503,30770,902,44183,51686,12,-4853,-1943,0,51775,103461,-10254,644,14247,14891,-2280,-251,-23,491,-2063,2574,-808,0,-248,0,24,24,1320,288,277,-429,-152,0,0,-3183,-28,-3363,-633,33,-3183,32.06076431,-8.36,-3.835019655,-0.121475725,-2.051371354,0.321578871,-1.823828182,-0.242742636,1.209516194,0.998281024,-2.023363808
2019 Q1,KHC,KRAFT HEINZ CO/THE,5.33%,0,2019-03-31,5959,3948,2011,0,829,0,1449,562,59,621,217,404,0,404,0,405,724,562,0.33,0.33,1096,2095,3118,384,2142,8835,7031,0,85644,2052,94727,103562,7972,29803,1483,43757,51729,12,-4586,-1684,0,51833,103562,1933,688,1166,1854,140,-307,-58,-10,-235,3552,-768,0,1676,0,590,590,13,1511,-1828,0,-1828,0,0,-1953,-132,-3913,1144,46,-1953,24.62090302,-8.85,-2.78202294,0.003910701,0.094311126,0.33747273,0.067964424,0.007813555,1.108253889,0.997993556,0.121496895
2019 Q2,KHC,KRAFT HEINZ CO/THE,4.86%,0,2019-06-30,6406,4324,2082,0,750,-474,1348,734,-183,551,103,448,0,448,0,449,913,734,0.37,0.37,1452,2154,3074,395,2093,9168,7023,0,84932,2078,94033,103201,7797,29832,1459,43729,51526,12,-4140,-1807,0,51675,103201,1933,688,1166,1854,140,-307,-58,-10,-235,3552,-768,0,1676,0,590,590,13,1511,-1828,0,-1828,0,0,-1953,-132,-3913,1144,46,-1953,23.73789978,-9.1,-2.608560415,0.004350733,0.114580081,0.325007805,0.07009054,0.008688921,1.17583686,0.997116594,0.142522635
